"YEdit","Toggle Comment","Shift+Ctrl+C","YEdit editor context"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Open from Clipboard","Shift+Ctrl+V","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Views","JavaScript Type Hierarchy","Shift+Alt+Q T","JavaScript View"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Run/Debug","Debug","F11","In Windows"
"JavaScript Debug","Evaluate","Shift+Alt+E","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"File","Refresh","F5","In Windows"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
